"student","social","gender","take_exam","Fi","CBi","Vi","MApi","PApi","total_time","total_activity","qp_time","wa_time","qp_activity","wa_activity","total_time_be","total_activity_be","pretest","posttest","exam_norm","lgain_pp","lgain_pe"
"user0904","social","male","yes",0.58,0.7,0.67,0.56,0.67,1945,28,1935,10,27,1,0,0,0.27,NA,0.81,NA,0.73972602739726
"user0905","social","male","yes",0.42,0.55,0.6,0.61,0.17,0,0,0,0,0,0,0,0,0.27,NA,0.86,NA,0.808219178082192
"user0906","social","male","yes",0.5,0.7,0.6,0.5,0.72,0,0,0,0,0,0,0,0,0.18,0.09,0.69,-0.109756097560976,0.621951219512195
"user0907","social","male","yes",0.58,0.8,0.8,0.89,0.67,0,0,0,0,0,0,0,0,0.09,1,0.95,1,0.945054945054945
"user0908","social","female","yes",0.58,0.4,0.6,0.72,0.72,0,0,0,0,0,0,0,0,0.18,0.82,0.86,0.780487804878049,0.829268292682927
"user0909","social","female","yes",0,0,0.33,0.56,0.5,549,67,386,163,21,46,530,64,0.09,NA,0.27,NA,0.197802197802198
"user0910","social","male","yes",0.58,0.35,0.67,0.72,0.61,0,0,0,0,0,0,0,0,0.27,0.73,0.95,0.63013698630137,0.931506849315068
"user0911","social","male","no",0.33,0.55,1,0.83,0.33,0,0,0,0,0,0,0,0,0.09,NA,-1,NA,NA
"user0912","social","female","yes",0.75,0.55,0.87,0.78,0.78,6209,602,4433,1776,97,505,6209,602,0.18,1,0.98,1,0.975609756097561
"user0913","social","male","no",0.75,0.65,0.93,0.78,0.78,0,0,0,0,0,0,0,0,0.18,NA,-1,NA,NA
"user0914","social","female","yes",0.67,0.7,0.87,0.94,0.83,1295,187,944,351,16,171,709,106,0.27,0.55,0.96,0.383561643835616,0.945205479452055
"user0915","social","female","yes",0.58,0.55,0.93,0.89,0.67,0,0,0,0,0,0,0,0,0.09,0.27,0.55,0.197802197802198,0.505494505494506
"user0916","social","female","yes",0.5,0.25,0.6,0.72,0.83,451,86,316,135,12,74,451,86,0,0.73,0.86,0.73,0.86
"user0918","social","male","yes",0.83,0.75,0.93,0.72,0.72,45,2,45,0,2,0,45,2,0.55,NA,0.96,NA,0.911111111111111
"user0919","social","female","no",0.17,0.25,0.2,0.22,0.33,3490,518,2545,945,78,440,3490,518,0.27,1,-1,1,NA
"user0920","social","female","yes",0.5,0.65,0.47,0.22,0.44,2685,267,2089,596,31,236,2466,266,0.09,0.64,0.89,0.604395604395604,0.879120879120879
"user0921","social","male","yes",0.67,0.9,0.87,0.67,0.61,0,0,0,0,0,0,0,0,0.45,NA,0.85,NA,0.727272727272727
"user0922","social","male","no",0.75,1,0.93,1,0.89,78,1,78,0,1,0,78,1,0.91,NA,-1,NA,NA
"user0923","social","male","yes",0.58,0.5,0.6,0.61,0.56,596,102,452,144,12,90,596,102,0,0.73,0.57,0.73,0.57
"user0924","social","male","yes",0.58,0.45,0.67,0.94,0.5,0,0,0,0,0,0,0,0,0.27,NA,0.84,NA,0.780821917808219
"user0925","social","male","yes",0.58,0.35,0.67,0.72,0.83,1814,256,1204,610,26,230,0,0,0.18,NA,0.61,NA,0.524390243902439
